suit_impurity,trump_percentage,high_card_count,low_card_count,leading,strategy,trump_suit,num_tricks,num_players,tricks_taken
0.71875,0.25,4,1,True,SimpleWinTricks,C,8,2,7
0.59375,0.0,1,4,False,Random,C,8,2,1
0.71875,0.25,4,1,True,SimpleWinTricks,C,8,2,7
0.59375,0.0,1,4,False,Random,C,8,2,1
0.71875,0.25,4,1,True,SimpleWinTricks,C,8,2,7
0.59375,0.0,1,4,False,Random,C,8,2,1
0.71875,0.25,4,1,True,SimpleWinTricks,C,8,2,7
0.59375,0.0,1,4,False,Random,C,8,2,1
0.71875,0.25,4,1,True,SimpleWinTricks,C,8,2,8
0.59375,0.0,1,4,False,Random,C,8,2,0
0.71875,0.25,4,1,True,SimpleWinTricks,C,8,2,8
0.59375,0.0,1,4,False,Random,C,8,2,0
0.71875,0.25,4,1,True,SimpleWinTricks,C,8,2,8
0.59375,0.0,1,4,False,Random,C,8,2,0
0.71875,0.25,4,1,True,SimpleWinTricks,C,8,2,7
0.59375,0.0,1,4,False,Random,C,8,2,1
0.71875,0.25,4,1,True,SimpleWinTricks,C,8,2,7
0.59375,0.0,1,4,False,Random,C,8,2,1
0.71875,0.25,4,1,True,SimpleWinTricks,C,8,2,8
0.59375,0.0,1,4,False,Random,C,8,2,0
0.71875,0.375,4,1,True,SimpleWinTricks,D,8,2,6
0.59375,0.125,1,4,False,Random,D,8,2,2
0.71875,0.375,4,1,True,SimpleWinTricks,D,8,2,6
0.59375,0.125,1,4,False,Random,D,8,2,2
0.71875,0.375,4,1,True,SimpleWinTricks,D,8,2,7
0.59375,0.125,1,4,False,Random,D,8,2,1
0.71875,0.375,4,1,True,SimpleWinTricks,D,8,2,8
0.59375,0.125,1,4,False,Random,D,8,2,0
0.71875,0.375,4,1,True,SimpleWinTricks,D,8,2,8
0.59375,0.125,1,4,False,Random,D,8,2,0
0.71875,0.375,4,1,True,SimpleWinTricks,D,8,2,6
0.59375,0.125,1,4,False,Random,D,8,2,2
0.71875,0.375,4,1,True,SimpleWinTricks,D,8,2,7
0.59375,0.125,1,4,False,Random,D,8,2,1
0.71875,0.375,4,1,True,SimpleWinTricks,D,8,2,7
0.59375,0.125,1,4,False,Random,D,8,2,1
0.71875,0.375,4,1,True,SimpleWinTricks,D,8,2,6
0.59375,0.125,1,4,False,Random,D,8,2,2
